Date,BEP,EIX,NEE,PCG,SRE,TSLA,Day,Week_Day,Week_Num,Month,Year,Mon,Tue,Wed,Thur,Fri,Sat,Sun,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Year_ID
6/30/10,18.82999992,31.71999931,48.75999832,41.09999847,46.79000092,23.82999992,30,4,27,6,2010,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
7/1/10,18.82999992,31.30999947,48.95000076,40.84000015,46.43000031,21.95999908,1,5,27,7,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/2/10,18.73999977,31.12999916,48.95999908,40.72999954,46.50999832,19.20000076,2,6,27,7,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/6/10,18.72999954,31.51000023,49.40000153,41.38999939,47.06000137,16.11000061,6,3,28,7,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/7/10,18.94000053,32.61000061,50.79999924,42.25999832,48.49000168,15.80000019,7,4,28,7,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/8/10,19.20999908,32.97000122,51,42.54999924,48.84999847,17.45999908,8,5,28,7,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/9/10,19.45999908,33.06000137,51.43000031,42.63000107,49.25999832,17.39999962,9,6,28,7,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/12/10,19.32999992,32.95000076,51.90999985,42.99000168,49.31000137,17.04999924,12,2,29,7,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/13/10,19.5,33.13000107,52.27999878,42.79999924,49.75,18.13999939,13,3,29,7,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/14/10,19.42000008,33.20000076,52.09999847,42.90999985,49.38000107,19.84000015,14,4,29,7,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/15/10,19.31999969,33.31999969,52.93999863,43.52000046,49.40000153,19.88999939,15,5,29,7,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/16/10,19.05999947,32.54999924,52.61000061,42.56000137,48.54000092,20.63999939,16,6,29,7,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/19/10,19.15999985,33.06999969,52.77000046,43.34999847,49.45000076,21.90999985,19,2,30,7,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/20/10,19.44000053,33,52.70000076,43.77000046,49.95000076,20.29999924,20,3,30,7,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/21/10,19.61000061,32.36999893,52.11999893,43.20000076,49.22000122,20.21999931,21,4,30,7,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/22/10,19.5,32.90999985,52.84000015,43.93000031,50.34999847,21,22,5,30,7,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/23/10,19.79000092,32.90999985,52.81000137,44.22999954,50.45999908,21.29000092,23,6,30,7,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/26/10,20.04000092,33,52.83000183,44.58000183,50.75999832,20.95000076,26,2,31,7,2010,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/27/10,20.37000084,33.72000122,53.79999924,45.27999878,51.15999985,20.54999924,27,3,31,7,2010,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/28/10,20.01000023,33.56999969,53.06999969,44.81000137,50.58000183,20.71999931,28,4,31,7,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/29/10,20.13999939,33.33000183,52.5,44.47999954,49.95999908,20.35000038,29,5,31,7,2010,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
7/30/10,20.37000084,33.15000153,52.29999924,44.40000153,49.75,19.94000053,30,6,31,7,2010,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
